TokenID OwnerAgentID LifeCycleCurveShape  DoB  DoD 
187 2120 Extended_Fad_2x 3 14
188 2133 Bust_2x 3 17
189 2135 Seasonal_3x 3 13
190 2138 Seasonal_1x 3 14
191 2169 Extended_Fad_4x 3 13
192 2176 Fad_4x 3 19
193 2177 Boom_classic_2x 3 14
194 2181 Bust_3x 3 14
195 2188 Fad_2x 3 16
196 2196 Extended_Fad_2x 3 13
197 2216 Boom_classic_2x 3 14
198 2218 Boom_classic_1x 3 18
199 2226 Seasonal_4x 3 10
200 2235 Bust_1x 3 16
201 2238 Boom_classic_1x 3 16
202 2241 Fad_4x 3 17
203 2254 Traditional_1x 3 14
204 2261 Boom_classic_3x 3 15
205 2266 Seasonal_1x 3 16
206 2281 Fad_2x 3 17
207 2283 Bust_2x 3 16
208 2291 Boom_classic_3x 3 14
209 2292 Seasonal_2x 3 15
210 2295 Fad_3x 3 17
211 2310 Seasonal_3x 3 15
212 2314 Bust_3x 3 12
213 2315 Boom_classic_3x 3 17
214 2325 Seasonal_3x 3 15
215 2335 Revival_3x 3 14
216 2337 Revival_1x 3 16
217 2345 Bust_3x 3 15
218 2378 Seasonal_4x 3 17
219 2393 Fad_1x 3 15
220 2395 Fad_1x 3 15
221 2406 Revival_3x 3 14
222 2420 Traditional_3x 3 15
223 2428 Traditional_3x 3 15
224 2433 Seasonal_3x 3 13
225 2510 Bust_4x 4 18
226 2511 Fad_2x 4 16
227 2534 Fad_1x 4 14
228 2550 Revival_4x 4 18
229 2565 Seasonal_2x 4 18
230 2566 Seasonal_2x 4 19
231 2569 Extended_Fad_3x 4 16
232 2594 Boom_classic_3x 4 14
233 2599 Extended_Fad_4x 4 18
234 2602 Boom_classic_1x 4 19
235 2603 Traditional_2x 4 11
236 2610 Extended_Fad_2x 4 17
237 2612 Seasonal_4x 4 15
238 2635 Seasonal_1x 4 13
239 2638 Revival_4x 4 14
240 2639 Bust_1x 4 17
241 2652 Fad_4x 4 16
242 2682 Revival_3x 4 13
243 2689 Seasonal_1x 4 14
244 2691 Traditional_1x 4 15
245 2715 Revival_1x 4 16
246 2717 Boom_classic_3x 4 17
247 2723 Extended_Fad_3x 4 17
248 2735 Bust_1x 4 14
249 2739 Bust_3x 4 13
250 2743 Seasonal_4x 4 16
251 2753 Revival_3x 4 16
252 2760 Bust_4x 4 18
253 2772 Revival_1x 4 18
254 2778 Bust_1x 4 16
255 2785 Fad_2x 4 16
256 2801 Bust_3x 4 14
257 2844 Boom_classic_1x 4 12
258 2845 Extended_Fad_3x 4 18
259 2850 Revival_2x 4 17
260 2855 Bust_3x 4 15
261 2858 Extended_Fad_2x 4 12
262 2866 Bust_2x 4 15
263 2892 Traditional_4x 4 16
264 2898 Traditional_4x 4 18
265 2899 Traditional_3x 4 16
266 2901 Extended_Fad_2x 4 16
267 2905 Traditional_1x 4 17
268 2909 Traditional_3x 4 16
269 2923 Bust_1x 4 19
270 2933 Bust_4x 4 18
271 2948 Bust_3x 4 13
272 2968 Extended_Fad_3x 4 19
273 2981 Fad_4x 4 12
274 3029 Seasonal_4x 4 16
275 3030 Seasonal_1x 4 17
276 3036 Bust_1x 4 15
277 3046 Boom_classic_4x 4 18
278 3059 Traditional_2x 4 16
279 3060 Fad_1x 4 15
280 3066 Fad_3x 4 17
281 3072 Seasonal_2x 4 11
282 3086 Bust_1x 4 18
283 3109 Boom_classic_3x 4 14
284 3114 Bust_2x 4 16
285 3126 Bust_4x 4 12
286 3134 Fad_2x 4 18
287 3151 Traditional_4x 4 16
288 3162 Fad_3x 4 15
289 3191 Boom_classic_4x 4 15
290 3194 Revival_1x 4 20
291 3199 Seasonal_2x 4 13
292 3214 Seasonal_2x 4 16
293 3216 Revival_1x 4 16
294 3223 Fad_4x 4 15
295 3224 Traditional_3x 4 16
296 3225 Extended_Fad_1x 4 17
297 3242 Revival_2x 4 14
298 3243 Fad_2x 4 13
299 3251 Seasonal_3x 4 17
300 3262 Revival_2x 4 13
301 3268 Extended_Fad_1x 4 17
302 3269 Traditional_1x 4 14
303 3278 Traditional_2x 4 15
304 3289 Extended_Fad_4x 4 17
305 3296 Traditional_2x 4 16
306 3306 Traditional_1x 4 15
307 3311 Fad_2x 4 16
308 3314 Traditional_3x 4 15
309 3340 Traditional_4x 4 15
310 3343 Extended_Fad_4x 4 20
311 3344 Revival_1x 4 14
312 3350 Seasonal_2x 4 13
313 3371 Seasonal_1x 4 17
314 3395 Boom_classic_2x 4 13
315 3413 Traditional_4x 4 16
316 3421 Traditional_1x 4 16
317 3423 Boom_classic_2x 4 13
318 3447 Extended_Fad_2x 4 15
