TokenID OwnerAgentID LifeCycleCurveShape  DoB  DoD 
0 24 Extended_Fad_3x 2 16
1 27 Bust_3x 2 10
2 39 Revival_4x 2 15
3 51 Extended_Fad_3x 2 10
4 56 Boom_classic_2x 2 10
5 57 Extended_Fad_4x 2 14
6 62 Fad_1x 2 11
7 66 Boom_classic_1x 3 16
8 74 Extended_Fad_4x 3 15
9 91 Traditional_1x 3 14
10 98 Revival_4x 3 13
11 101 Revival_2x 3 15
12 106 Extended_Fad_2x 3 11
13 107 Extended_Fad_3x 3 13
14 111 Seasonal_3x 3 16
15 117 Extended_Fad_4x 3 13
16 118 Boom_classic_1x 3 14
17 128 Extended_Fad_4x 3 14
18 135 Traditional_3x 3 16
19 137 Boom_classic_2x 3 14
20 144 Boom_classic_3x 3 14
21 145 Fad_1x 3 17
22 159 Fad_3x 3 11
23 170 Traditional_3x 3 17
24 175 Fad_3x 3 16
25 183 Boom_classic_3x 3 14
26 185 Extended_Fad_1x 3 13
27 201 Fad_3x 4 16
28 210 Extended_Fad_1x 4 16
29 218 Boom_classic_2x 4 16
30 229 Boom_classic_2x 4 12
31 232 Fad_1x 4 17
32 235 Fad_3x 4 15
33 244 Seasonal_4x 4 18
34 252 Bust_1x 4 12
35 276 Extended_Fad_2x 4 17
36 279 Extended_Fad_2x 4 20
37 286 Boom_classic_3x 4 16
38 327 Bust_2x 4 16
39 356 Boom_classic_4x 5 19
40 375 Revival_4x 5 15
41 392 Extended_Fad_4x 5 17
42 397 Seasonal_2x 5 15
43 398 Bust_3x 5 18
44 399 Boom_classic_2x 5 13
