TokenID OwnerAgentID LifeCycleCurveShape DoB DoD
1 6 Traditional_1x 1 71
2 9 Boom_classic_1x 2 68
3 14 Boom_classic_3x 2 77
4 56 Bust_3x 5 75
5 57 Traditional_1x 8 81
6 58 Boom_classic_2x 7 78
7 62 Traditional_1x 4 73
8 76 Traditional_2x 3 76
9 86 Seasonal_4x 18 87
10 88 Bust_4x 15 89
11 94 Bust_1x 10 86
12 97 Extended_Fad_4x 19 89
13 106 Extended_Fad_3x 13 81
14 120 Revival_2x 15 81
15 132 Boom_classic_3x 16 84
16 137 Seasonal_3x 19 86
17 154 Fad_3x 14 83
18 165 Extended_Fad_4x 13 83
19 169 Traditional_2x 14 86
20 207 Extended_Fad_3x 15 89
21 221 Revival_1x 17 85
22 222 Bust_2x 18 86
23 244 Boom_classic_3x 9 79
24 255 Extended_Fad_3x 21 88
25 260 Boom_classic_3x 26 97
26 282 Bust_4x 22 87
27 284 Fad_4x 23 94
28 291 Traditional_2x 27 99
29 306 Traditional_1x 22 87
30 321 Revival_4x 26 95
31 327 Fad_2x 28 95
32 332 Fad_1x 30 101
33 347 Revival_1x 30 96
34 349 Revival_3x 30 99
35 352 Traditional_3x 21 96
36 360 Bust_3x 23 92
37 362 Traditional_4x 32 102
38 381 Fad_4x 31 102
39 382 Revival_2x 23 90
40 387 Extended_Fad_3x 23 87
41 393 Bust_1x 32 99
42 402 Traditional_1x 31 98
43 423 Boom_classic_4x 46 109
44 430 Bust_1x 44 116
45 431 Revival_2x 40 111
46 436 Extended_Fad_4x 39 108
47 447 Bust_1x 42 111
48 460 Boom_classic_1x 52 123
49 474 Bust_1x 44 109
50 490 Traditional_4x 41 108
51 499 Traditional_2x 50 119
