AgentID AgentLiquidity TokenID DeltaSupply TokenCurrentBuyPrice TokenCurrentSellPrice TokenCurrentSupply TransactionType SimulationMonth 
208 2293.089215 1 0.487264 5.113808 5.113808 1.022762 buy 3 
189 2250.885970 24 0.523845 4.063316 4.063316 0.812663 buy 3 
113 1873.794230 16 0.393748 2.581018 2.581018 0.516204 buy 3 
73 1547.080930 5 0.852093 4.260467 4.260467 0.852093 buy 3 
21 1941.487332 36 0.762642 3.813211 3.813211 0.762642 buy 3 
110 2371.289032 12 0.453825 5.815812 5.815812 1.163162 buy 3 
150 2274.149205 10 0.510450 5.868980 5.868980 1.173796 buy 3 
238 1968.139646 15 0.188572 0.942861 0.942861 0.188572 buy 3 
131 1854.073341 37 0.631117 7.444283 7.444283 1.488857 buy 3 
226 2066.395763 2 0.690218 9.408719 9.408719 1.881744 buy 3 
119 2078.899238 43 0.394940 8.138494 8.138494 1.627699 buy 3 
35 2170.670856 9 0.774936 4.717039 4.717039 0.943408 buy 3 
12 2387.001417 30 0.043566 2.581443 2.581443 0.516289 buy 3 
115 1862.436431 16 0.963376 7.397900 7.397900 1.479580 buy 3 
188 1602.523221 46 0.101041 0.505203 0.505203 0.101041 buy 3 
104 1978.146657 20 0.209871 1.049353 1.049353 0.209871 buy 3 
72 11413.567346 6 0.436251 2.181256 2.181256 0.436251 buy 3 
61 2385.517980 37 0.783415 11.361359 11.361359 2.272272 buy 3 
106 2023.972286 40 0.801713 5.702217 5.702217 1.140443 buy 3 
72 11413.038329 11 0.460008 2.300038 2.300038 0.460008 buy 3 
76 2385.096512 5 0.947850 8.999717 8.999717 1.799943 buy 3 
73 1540.395104 1 0.906065 9.644133 9.644133 1.928827 buy 3 
32 2273.130937 42 0.198400 5.069984 5.069984 1.013997 sell 3 
115 1866.168152 16 0.439233 5.201733 5.201733 1.040347 sell 3 
56 2729.535660 27 0.575581 0.853225 0.853225 0.170645 sell 3 
51 2228.714473 8 0.668249 5.281405 5.281405 1.056281 buy 3 
208 2298.227022 1 0.474399 7.272136 7.272136 1.454427 sell 3 
208 2299.128653 1 0.119107 6.676600 6.676600 1.335320 sell 3 
170 1974.893676 6 0.006503 2.213770 2.213770 0.442754 buy 3 
190 1974.927502 3 0.465703 1.687384 1.687384 0.337477 sell 3 
45 1578.952509 31 0.306848 2.913829 2.913829 0.582766 sell 3 
35 2165.749348 34 0.869482 7.833981 7.833981 1.566796 buy 3 
225 1722.972836 7 0.144238 11.842328 11.842328 2.368466 buy 3 
185 2044.022380 5 0.413933 11.069383 11.069383 2.213877 buy 3 
44 2232.227830 24 0.002450 4.051066 4.051066 0.810213 sell 3 
61 2385.841712 39 0.089839 2.929658 2.929658 0.585932 sell 3 
72 11413.911165 34 0.107714 7.295411 7.295411 1.459082 sell 3 
114 1877.987201 25 0.261945 13.242061 13.242061 2.648412 buy 3 
41 1893.637123 37 0.053338 11.094669 11.094669 2.218934 sell 3 
151 2173.120880 3 0.344071 3.407737 3.407737 0.681547 buy 3 
156 2372.502937 40 0.865669 10.030563 10.030563 2.006113 buy 3 
72 11420.320307 7 0.490430 9.390177 9.390177 1.878035 sell 3 
12 2385.171400 15 0.687536 4.380543 4.380543 0.876109 buy 3 
61 2388.165150 37 0.200372 10.092807 10.092807 2.018561 sell 3 
203 1864.615444 8 0.064222 5.602514 5.602514 1.120503 buy 3 
184 1897.609584 11 0.111023 2.855151 2.855151 0.571030 buy 3 
75 1979.447857 38 0.858574 11.649533 11.649533 2.329907 buy 3 
41 1901.476947 37 0.666680 6.759409 6.759409 1.351882 sell 3 
72 11417.214969 16 0.484270 7.623084 7.623084 1.524617 buy 3 
139 1777.941988 19 0.990722 4.953611 4.953611 0.990722 buy 3 
323 1658.078263 47 0.142881 3.857989 3.857989 0.771598 buy 4 
376 1709.043976 37 0.632394 9.921378 9.921378 1.984276 buy 4 
366 2189.735346 28 0.727862 11.762358 11.762358 2.352472 buy 4 
332 1770.138810 47 0.358134 5.648656 5.648656 1.129731 buy 4 
408 2277.252486 2 0.027001 9.543724 9.543724 1.908745 buy 4 
287 2129.164696 17 0.560282 3.998822 3.998822 0.799764 buy 4 
123 2172.034716 28 0.460808 9.458318 9.458318 1.891664 sell 4 
250 1199.963032 19 0.959915 9.753185 9.753185 1.950637 buy 4 
110 2368.198820 42 0.490754 7.523752 7.523752 1.504750 buy 4 
383 2258.077712 22 0.665699 5.293644 5.293644 1.058729 buy 4 
53 2083.789591 39 0.443024 5.144779 5.144779 1.028956 buy 4 
376 1711.482772 37 0.232223 8.760261 8.760261 1.752052 sell 4 
224 2458.177687 25 0.380958 15.146851 15.146851 3.029370 buy 4 
111 2056.727893 33 0.146662 0.733309 0.733309 0.146662 buy 4 
213 4727.302160 27 0.726762 4.487033 4.487033 0.897407 buy 4 
241 2422.330249 16 0.650366 10.874914 10.874914 2.174983 buy 4 
323 1658.791769 47 0.119947 5.048923 5.048923 1.009785 sell 4 
299 1956.062043 24 0.906456 8.583348 8.583348 1.716670 buy 4 
16 2134.837238 20 0.711891 4.608809 4.608809 0.921762 buy 4 
47 1380.273060 31 0.333323 4.580447 4.580447 0.916089 buy 4 
215 2301.160971 7 0.719940 12.989875 12.989875 2.597975 buy 4 
215 2309.911031 7 0.603509 9.972331 9.972331 1.994466 sell 4 
47 1378.944725 33 0.596873 3.717673 3.717673 0.743535 buy 4 
392 2020.120061 11 0.925822 7.484260 7.484260 1.496852 buy 4 
308 1948.419424 4 0.361670 1.808351 1.808351 0.361670 buy 4 
146 2304.985550 14 0.894841 13.036888 13.036888 2.607378 buy 4 
79 2101.841878 25 0.085222 14.720740 14.720740 2.944148 sell 4 
61 2387.964276 18 0.041502 4.943876 4.943876 0.988775 buy 4 
76 2389.373674 5 0.357527 9.281750 9.281750 1.856350 sell 4 
284 1838.773080 17 0.299129 5.494468 5.494468 1.098894 buy 4 
45 1579.085690 31 0.028628 4.437304 4.437304 0.887461 sell 4 
377 1816.868310 45 0.115845 10.166377 10.166377 2.033275 buy 4 
408 2277.328055 2 0.007902 9.504215 9.504215 1.900843 sell 4 
319 2688.575244 38 0.731449 15.306778 15.306778 3.061356 buy 4 
209 2042.733341 33 0.277798 5.106666 5.106666 1.021333 buy 4 
130 1957.791931 28 0.547507 12.195853 12.195853 2.439171 buy 4 
150 2274.884127 10 0.119172 5.273121 5.273121 1.054624 sell 4 
262 1717.506276 7 0.970136 14.823009 14.823009 2.964602 buy 4 
47 1382.125119 33 0.500271 2.605311 2.605311 0.521062 sell 4 
397 1904.156384 16 0.346115 12.605488 12.605488 2.521098 buy 4 
46 2440.266249 10 0.373155 3.407348 3.407348 0.681470 sell 4 
79 2103.566719 25 0.114928 14.146102 14.146102 2.829220 sell 4 
70 1734.215913 38 0.129710 15.955326 15.955326 3.191065 buy 4 
341 1794.396282 27 0.415188 6.562974 6.562974 1.312595 buy 4 
