,Traditional_1x,Boom_classic_1x,Fad_1x,Extended_Fad_1x,Seasonal_1x,Revival_1x,Bust_1x,Traditional_2x,Boom_classic_2x,Fad_2x,Extended_Fad_2x,Seasonal_2x,Revival_2x,Bust_2x,Traditional_3x,Boom_classic_3x,Fad_3x,Extended_Fad_3x,Seasonal_3x,Revival_3x,Bust_3x,Traditional_4x,Boom_classic_4x,Fad_4x,Extended_Fad_4x,Seasonal_4x,Revival_4x,Bust_4x
0,2.92,2.23,0.0,0.0,1.12,1.04,0.0,5.84,4.46,0.0,0.0,2.24,2.08,0.0,8.76,6.69,0.0,0.0,3.36,3.12,0.0,11.68,8.92,0.0,0.0,4.48,4.16,0.0
1,3.8603125,2.9121875,3.7280625,3.7280625,2.587625,2.345375,0.7456125,7.720625,5.824375,7.456125,7.456125,5.17525,4.69075,1.491225,11.580937500000001,8.7365625,11.1841875,11.1841875,7.762875000000001,7.036125,2.2368375,15.44125,11.64875,14.91225,14.91225,10.3505,9.3815,2.98245
2,4.800625,3.5943750000000003,7.456125,7.456125,4.05525,3.6507500000000004,1.491225,9.60125,7.188750000000001,14.91225,14.91225,8.1105,7.301500000000001,2.98245,14.401875,10.783125,22.368375,22.368375,12.165750000000001,10.952250000000001,4.473675,19.2025,14.377500000000001,29.8245,29.8245,16.221,14.603000000000002,5.9649
3,5.761125000000001,4.336062500000001,10.988687500000001,10.988687500000001,5.5919375,5.023062500000001,2.1977375,11.522250000000001,8.672125000000001,21.977375000000002,21.977375000000002,11.183875,10.046125000000002,4.395475,17.283375000000003,13.008187500000002,32.96606250000001,32.96606250000001,16.775812500000004,15.069187500000002,6.593212500000001,23.044500000000003,17.344250000000002,43.954750000000004,43.954750000000004,22.36775,20.092250000000003,8.79095
4,6.7715000000000005,5.22475,14.03825,14.03825,7.299250000000001,6.5607500000000005,2.80765,13.543000000000001,10.4495,28.0765,28.0765,14.598500000000001,13.121500000000001,5.6153,20.3145,15.67425,42.11475,42.11475,21.897750000000002,19.682250000000003,8.42295,27.086000000000002,20.899,56.153,56.153,29.197000000000003,26.243000000000002,11.2306
5,7.781875000000001,6.1134375,17.0878125,17.0878125,9.006562500000001,8.0984375,3.4175625,15.563750000000002,12.226875,34.175625,34.175625,18.013125000000002,16.196875,6.835125,23.345625,18.3403125,51.2634375,51.2634375,27.019687500000003,24.2953125,10.2526875,31.127500000000005,24.45375,68.35125,68.35125,36.026250000000005,32.39375,13.67025
6,8.792250000000001,7.004250000000001,20.451875,20.451875,10.711750000000002,9.680750000000002,4.090375000000001,17.584500000000002,14.008500000000002,40.90375,40.90375,21.423500000000004,19.361500000000003,8.180750000000002,26.37675,21.01275,61.35562500000001,61.35562500000001,32.135250000000006,29.042250000000006,12.271125000000003,35.169000000000004,28.017000000000003,81.8075,81.8075,42.84700000000001,38.723000000000006,16.361500000000003
7,9.802625,7.896625000000001,24.0471875,24.0471875,12.415375000000001,11.295875000000002,4.8094375000000005,19.60525,15.793250000000002,48.094375,48.094375,24.830750000000002,22.591750000000005,9.618875000000001,29.407875000000004,23.689875,72.1415625,72.1415625,37.246125000000006,33.887625,14.428312500000002,39.2105,31.586500000000004,96.18875,96.18875,49.661500000000004,45.18350000000001,19.237750000000002
8,10.812999999999999,8.789000000000001,27.6425,27.6425,14.119,12.911000000000001,5.528500000000001,21.625999999999998,17.578000000000003,55.285,55.285,28.238,25.822000000000003,11.057000000000002,32.439,26.367,82.92750000000001,82.92750000000001,42.357,38.733000000000004,16.585500000000003,43.251999999999995,35.156000000000006,110.57,110.57,56.476,51.644000000000005,22.114000000000004
9,11.7054375,9.617625,31.291999999999998,31.291999999999998,16.383625000000002,14.057562500000001,6.258400000000001,23.410875,19.23525,62.583999999999996,62.583999999999996,32.767250000000004,28.115125000000003,12.516800000000002,35.1163125,28.852875,93.876,93.876,49.150875,42.1726875,18.7752,46.82175,38.4705,125.16799999999999,125.16799999999999,65.53450000000001,56.230250000000005,25.033600000000003
10,12.579375,10.436250000000001,34.949999999999996,34.949999999999996,18.73625,15.130625,6.99,25.15875,20.872500000000002,69.89999999999999,69.89999999999999,37.4725,30.26125,13.98,37.738125000000004,31.30875,104.85000000000001,104.85000000000001,56.208749999999995,45.391875,20.97,50.3175,41.745000000000005,139.79999999999998,139.79999999999998,74.945,60.5225,27.96
11,13.453312500000001,11.276250000000001,38.5466875,38.5466875,21.097875000000002,16.1924375,7.709337500000001,26.906625000000002,22.552500000000002,77.093375,77.093375,42.195750000000004,32.384875,15.418675000000002,40.3599375,33.82875000000001,115.64006250000001,115.64006250000001,63.293625000000006,48.5773125,23.1280125,53.813250000000004,45.105000000000004,154.18675,154.18675,84.39150000000001,64.76975,30.837350000000004
12,14.327250000000001,12.235000000000003,41.80275,41.80275,23.509500000000003,17.191750000000003,8.360550000000002,28.654500000000002,24.470000000000006,83.6055,83.6055,47.019000000000005,34.383500000000005,16.721100000000003,42.981750000000005,36.705000000000005,125.40825000000001,125.40825000000001,70.52850000000001,51.575250000000004,25.081650000000003,57.309000000000005,48.94000000000001,167.211,167.211,94.03800000000001,68.76700000000001,33.44220000000001
13,15.2011875,13.193750000000001,45.0588125,45.0588125,25.921125,18.1910625,9.0117625,30.402375,26.387500000000003,90.117625,90.117625,51.84225,36.382125,18.023525,45.6035625,39.58125,135.1764375,135.1764375,77.76337500000001,54.5731875,27.035287500000003,60.80475,52.775000000000006,180.23525,180.23525,103.6845,72.76425,36.04705
